Código;Control Group;Treated Group;Intervention Target;Control Freezing %;Treated Freezing %;Control SEM;Treated SEM;Control Sample Size;Treated Sample Size;Control SD;Treated SD;Significant;p Value;Pooled SD;Effect Size (in Cohen's D);Effect Size (in %);Result Description;Descriptor Term;Graph Code;Protocol Code;Power (upper-bound ES);Power (intermediate);Power (lower-bound ES);Normalized Effect Size;Weighted Mean (Control+Treated);Pooled Coefficient of Variation;Contextual Baseline Freezing (Control);Contextual Baseline Freezing  (Treated);Contextual Baseline SEM (Control);Contextual Baseline SEM (Treated);Tone Baseline (Control);Tone Baseline (Treated);Tone Baseline SEM (Control);Tone Baseline SEM (Treated);Description Score;ES_Absolute Difference;Power_upper_AbsES;Power_lower_AbsES;Power_interm_AbsES;Power_d02;Power_d05;Power_d08
1;dys+/+;dys+/-;Dysbindin 1 k.o.;38,98;28,084;4,19;3,77;16;16;16,76;15,08;WAHR;<0.05;15,9421454;-0,683471373;-27,95279631;dys +/+ mice froze significantly more than both dys +/- and dys -/-;significantly more;1;74;0,884362768;0,730651008;0,533086522;27,95279631;33,532;0,475430795;2,04;2,72;1,02;2,04;;;;;0,71;-10,896;0,983099151;0,729345576;0,857766992;0,087390985;0,292988936;0,618982436
2;dys+/+;dys-/-;Dysbindin 1 k.o.;38,98;22,63;4,19;2,3;16;16;16,76;9,2;WAHR;<0.01;13,51920116;-1,209390984;-41,94458697;dys +/+ mice froze significantly more than both dys +/- and dys -/-;significantly more;1;74;0,961040902;0,859087025;0,673322387;41,94458697;30,805;0,438863858;2,04;0,34;1,02;0,34;;;;;0,71;-16,35;0,997841957;0,858043548;0,946675284;0,087390985;0,292988936;0,618982436
3;CT Contextual;KO Contextual;inducible NMDA receptor knockout mice;52;21;6;5;4;5;12;11,18033989;WAHR;<0.05;11,53875458;-2,686598436;-59,61538462;As expected, dox-induced NMDA receptor knockout caused significant behavioral impairment in learning trace fear conditioning as revealed byreduced contextual and tone freezing;significant impairment;2;75;0,865807874;0,705797419;0,509822977;59,61538462;34,77777778;0,331785275;;;;;;;;;1,07;-31;0,844407831;0,465011673;0,597418648;0,06024379;0,115669751;0,222232831
4;CT Tone;KO Tone;inducible NMDA receptor knockout mice;51;31;4;7;4;5;8;15,65247584;WAHR;<0.01;12,93941928;-1,54566442;-39,21568627;As expected, dox-induced NMDA receptor knockout caused significant behavioral impairment in learning trace fear conditioning as revealed byreduced contextual and tone freezing;significant impairment;3;76;0,764924673;0,59000179;0,411362249;39,21568627;39,88888889;0,324386556;;;;;;;;;1,07;-20;0,755203408;0,385815283;0,503143422;0,06024379;0,115669751;0,222232831
7;DMSO;100uM IU1;inibidor ubiquitin-specific protease 14;17,86;9,09;3,56;1,22;10;10;11,25770847;3,857978745;WAHR;=0.026;8,414867795;-1,042202945;-49,10414334;revealed significant impairments in retention for the training context in animals that received either 100 mM or 200 mM;significant impairment;4;1;0,581834733;0,423551726;0,288801283;49,10414334;13,475;0,624479985;;;;;;;;;1,07;-8,77;0,999983696;0,970650311;0,995040987;0,073209713;0,200955551;0,432157628
8;DMSO;200uM IU1;inibidor ubiquitin-specific protease 14;17,86;4,54;3,56;0,66;10;10;11,25770847;2,087103256;WAHR;=0.02;8,096048419;-1,645247077;-74,58006719;evealed significant impairments in retention for the training context in animals that received either 100 mM or 200 mM;significant impairment;4;1;0,614815242;0,450935644;0,307863492;74,58006719;11,2;0,722861466;;;;;;;;;1,07;-13,32;0,999994467;0,979427487;0,997086886;0,073209713;0,200955551;0,432157628
9;DMSO;100uM IU1;inibidor ubiquitin-specific protease 14;48,2;42,9;7,07;6,56;10;10;22,35730306;20,74454145;FALSCH;NS;21,56600334;-0,245757172;-10,99585062;we did not find a significant effect of the drug on the auditory CS test;did not find significant effect;5;2;0,626074528;0,460495277;0,314604964;10,99585062;45,55;0,473457812;;;;;;;;;0,57;-5,3;0,664889103;0,323898288;0,425131373;0,073209713;0,200955551;0,432157628
10;DMSO;200uM IU1;inibidor ubiquitin-specific protease 14;48,2;40,88;7,07;5,55;10;10;22,35730306;17,55064101;FALSCH;NS;20,098184;-0,36421201;-15,18672199;we did not find a significant effect of the drug on the auditory CS test;did not find significant effect;5;2;0,687252216;0,514608619;0,353710235;15,18672199;44,54;0,451238976;;;;;;;;;0,57;-7,32;0,725771478;0,364154646;0,476257607;0,073209713;0,200955551;0,432157628
11;NTg 2 meses;Tg 2 meses;rTg4510 (expressa ptn tau humana com mutação P301L);49,88;27,42;6,53;3,13;24;24;31,99033604;15,33380579;WAHR;<0.01;25,08492775;-0,895358369;-45,02806736;rTg4510 mice displayed a decrease in the amount of time freezing when returned to the same environment in which they previously received a mild electrical shock;decrease;6;3;0,881890234;0,72724866;0,529846698;45,02806736;38,65;0,649027885;;;;;;;;;0,57;-22,46;0,888312247;0,516402016;0,654949834;0,106543506;0,409968112;0,791409379
12;NTg 6 meses;Tg 6 meses;rTg4510 (expressa ptn tau humana com mutação P301L);43,35;19,85;4,7;4,44;26;21;23,96539171;20,34663609;WAHR;<0.001;22,42925272;-1,047738874;-54,20991926;rTg4510 mice displayed a decrease in the amount of time freezing when returned to the same environment in which they previously received a mild electrical shock;decrease;6;3;0,852505224;0,68884627;0,494457247;54,20991926;32,85;0,682777861;;;;;;;;;0,57;-23,5;0,937811999;0,595607554;0,737462043;0,104699078;0,399185828;0,778382185
